Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date," BC End Date	",ND Start Date,ND End Date,Actual Payment Date
532310,SHREERAMA,SHREE RAMA MULTI-TECH LTD.,05-Dec-00,Final Dividend - Rs. - 0.3000,-,20-Dec-00,26-Dec-00,05-Dec-00,15-Dec-00,-
526596,LIBERTSHOE,LIBERTY SHOES LTD.,06-Dec-00,Final Dividend - Rs. - 3.5000,-,21-Dec-00,26-Dec-00,06-Dec-00,18-Dec-00,-
513121,ORICON,ORICON ENTERPRISES LTD.-$,06-Dec-00,Dividend - Rs. - 1.5000,-,21-Dec-00,29-Dec-00,06-Dec-00,18-Dec-00,-
500378,JINDALSAW,JINDAL SAW LTD.,08-Dec-00,Dividend - Rs. - 0.0000,-,23-Dec-00,26-Dec-00,08-Dec-00,20-Dec-00,-
500139,FEDDERELEC,Fedders Electric and Engineering Ltd,11-Dec-00,NIL Dividend - Rs. - 0.0000,-,25-Dec-00,30-Dec-00,11-Dec-00,21-Dec-00,-
504697,GALADA,GALADA POWER & TELECOMMUNICATION LTD.,11-Dec-00,NIL Dividend - Rs. - 0.0000,-,26-Dec-00,29-Dec-00,11-Dec-00,21-Dec-00,-
514286,ASHIMASYN,ASHIMA LTD.,12-Dec-00,Dividend - Rs. - 1.2500,-,27-Dec-00,29-Dec-00,12-Dec-00,22-Dec-00,-
500249,KSB,KSB Ltd,12-Dec-00,Interim Dividend - Rs. - 1.0000,27-Dec-00,-,-,12-Dec-00,22-Dec-00,-
514328,NACHKNIT,NACHMO KNITEX LTD.-$,12-Dec-00,Dividend - Rs. - 1.0000,-,27-Dec-00,29-Dec-00,12-Dec-00,22-Dec-00,-
532150,INDRAMEDCO,INDRAPRASTHA MEDICAL CORP.LTD.,18-Dec-00,Interim Dividend - Rs. - 0.7500,01-Jan-01,-,-,18-Dec-00,29-Dec-00,-
507410,WALCHANNAG,WALCHANDNAGAR INDUSTRIES LTD.,26-Dec-00,Dividend - Rs. - 3.3000,-,10-Jan-01,16-Jan-01,26-Dec-00,08-Jan-01,-
505010,AUTOAXLES,AUTOMOTIVE AXLES LTD.,29-Dec-00,Dividend - Rs. - 2.0000,-,13-Jan-01,20-Jan-01,29-Dec-00,11-Jan-01,-
500304,NIITLTD,NIIT LTD.,03-Jan-01,Dividend - Rs. - 4.2500,-,18-Jan-01,22-Jan-01,03-Jan-01,16-Jan-01,-
508989,NAVNETEDUL,Navneet Education Limited,12-Jan-01,Dividend - Rs. - 4.1000,-,27-Jan-01,09-Feb-01,12-Jan-01,24-Jan-01,-
531327,CHARMS,CHARMS INDUSTRIES LTD.,15-Jan-01,Interim Dividend - Rs. - 0.5000,30-Jan-01,-,-,15-Jan-01,25-Jan-01,-
522073,HITECHGEAR,The Hi-Tech Gears Ltd,16-Jan-01,Dividend - Rs. - 1.0000,31-Jan-01,-,-,16-Jan-01,29-Jan-01,-
532376,MRO-TEK,MRO-TEK Realty Ltd,17-Jan-01,Interim Dividend - Rs. - 0.2500,01-Feb-01,-,-,17-Jan-01,30-Jan-01,-
532051,SWELECTES,Swelect Energy Systems Limited-$,23-Jan-01,Dividend - Rs. - 0.0000,-,08-Feb-01,10-Feb-01,23-Jan-01,06-Feb-01,-
500288,MOREPENLAB,MOREPEN LABORATORIES LTD.,24-Jan-01,Interim Dividend - Rs. - 0.5000,09-Feb-01,-,-,24-Jan-01,07-Feb-01,-
524208,AARTIIND,AARTI INDUSTRIES LTD.,01-Feb-01,Interim Dividend - Rs. - 1.5000,16-Feb-01,-,-,01-Feb-01,12-Feb-01,-
532351,AKSHOPTFBR,AKSH OPTIFIBRE LTD.,06-Feb-01,Interim Dividend - Rs. - 0.0000,21-Feb-01,-,-,06-Feb-01,15-Feb-01,-
506076,GRINDWELL,GRINDWELL NORTON LTD.-$,06-Feb-01,Dividend - Rs. - 0.0000,-,21-Feb-01,06-Mar-01,06-Feb-01,15-Feb-01,-
500279,MIRCELECTR,MIRC ELECTRONICS LTD.,12-Feb-01,Interim Dividend - Rs. - 4.0000,26-Feb-01,-,-,12-Feb-01,23-Feb-01,-
500290,MRF,MRF LTD.,13-Feb-01,Final Dividend - Rs. - 9.0000,-,01-Mar-01,15-Mar-01,13-Feb-01,26-Feb-01,-
500472,SKFINDIA,SKF India Ltd,13-Feb-01,Dividend - Rs. - 15.0000,-,02-Mar-01,09-Mar-01,13-Feb-01,26-Feb-01,-
506808,TUTIALKA,Tuticorin Alkali Chemicals And Fertilizers Ltd,13-Feb-01,NIL Dividend - Rs. - 0.0000,-,01-Mar-01,23-Mar-01,13-Feb-01,26-Feb-01,-
514322,KAMADGIRI,KAMADGIRI FASHION LTD.-$,15-Feb-01,Interim Dividend - Rs. - 1.0000,05-Mar-01,-,-,15-Feb-01,01-Mar-01,-
526143,MPL,MPL Plastics Limited,15-Feb-01,NIL Dividend - Rs. - 0.0000,-,06-Mar-01,12-Mar-01,15-Feb-01,01-Mar-01,-
505790,SCHAEFFLER,Schaeffler India Ltd,20-Feb-01,Dividend - Rs. - 3.5000,-,08-Mar-01,16-Mar-01,20-Feb-01,05-Mar-01,-
524051,POLYPLEX,POLYPLEX CORPORATION LTD.,27-Feb-01,Interim Dividend - Rs. - 1.0000,14-Mar-01,-,-,27-Feb-01,12-Mar-01,-
520113,VESUVIUS,VESUVIUS INDIA LTD.,27-Feb-01,Dividend - Rs. - 2.2500,-,15-Mar-01,27-Mar-01,27-Feb-01,13-Mar-01,-
531717,VIDHIING,Vidhi Specialty Food Ingredients Ltd-$,27-Feb-01,Interim Dividend - Rs. - 1.0000,15-Mar-01,-,-,27-Feb-01,13-Mar-01,-
509480,BERGEPAINT,BERGER PAINTS INDIA LTD.,28-Feb-01,Interim Dividend - Rs. - 0.0000,16-Mar-01,-,-,28-Feb-01,14-Mar-01,-
523062,JJFINCOR,J.J.FINANCE CORPORATION LTD.,28-Feb-01,NIL Dividend - Rs. - 0.0000,-,16-Mar-01,22-Mar-01,28-Feb-01,14-Mar-01,-
526801,PSL,PSL LTD.,07-Mar-01,Final Dividend - Rs. - 1.0000,-,22-Mar-01,29-Mar-01,07-Mar-01,19-Mar-01,-
531175,BLSINFOTE,BLS INFOTECH LTD.,09-Mar-01,NIL Dividend - Rs. - 0.0000,-,24-Mar-01,29-Mar-01,09-Mar-01,21-Mar-01,-
500166,GOODRICKE,GOODRICKE GROUP LTD.,12-Mar-01,Dividend - Rs. - 0.5000,-,27-Mar-01,31-Mar-01,12-Mar-01,22-Mar-01,-
517571,INDLMETER,IMP POWERS LTD.,13-Mar-01,Dividend - Rs. - 0.7500,-,28-Mar-01,30-Mar-01,13-Mar-01,22-Mar-01,-
532275,LANDMARC,LANDMARC LEISURE CORPORATION LTD.,14-Mar-01,Dividend - Rs. - 0.1000,-,29-Mar-01,31-Mar-01,14-Mar-01,22-Mar-01,-
500680,PFIZER,PFIZER LTD.,23-Mar-01,Dividend - Rs. - 4.0000,-,12-Apr-01,26-Apr-01,23-Mar-01,09-Apr-01,-
500696,HINDUNILVR,HINDUSTAN UNILEVER LTD.,27-Mar-01,Final Dividend - Rs. - 2.0000,-,17-Apr-01,30-Apr-01,27-Mar-01,12-Apr-01,-
509496,ITDCEM,ITD CEMENTATION INDIA LTD.,27-Mar-01,Dividend - Rs. - 2.5000,-,17-Apr-01,27-Apr-01,27-Mar-01,12-Apr-01,-
523411,ADCINDIA,ADC India Communications Limited-$,30-Mar-01,Dividend - Rs. - 1.5000,-,20-Apr-01,28-Apr-01,30-Mar-01,18-Apr-01,-
532359,HITKITGLO,HIT KIT GLOBAL SOLUTIONS LTD.,04-Apr-01,Dividend - Rs. - 1.0000,-,21-Apr-01,24-Apr-01,04-Apr-01,19-Apr-01,-
500180,HDFCBANK,HDFC Bank Ltd,20-Apr-01,Dividend - Rs. - 2.0000,-,05-May-01,01-Jun-01,20-Apr-01,02-May-01,-
500150,FOSECOIND,FOSECO INDIA LTD.,24-Apr-01,NIL Dividend - Rs. - 0.0000,-,09-May-01,24-May-01,24-Apr-01,07-May-01,-
500325,RELIANCE,RELIANCE INDUSTRIES LTD.,26-Apr-01,Dividend - Rs. - 4.2500,-,12-May-01,19-May-01,26-Apr-01,10-May-01,-
512247,ASHCAP,ASHIRWAD CAPITAL LTD.,27-Apr-01,NIL Dividend - Rs. - 0.0000,-,16-May-01,23-May-01,27-Apr-01,14-May-01,-
506285,BAYERCROP,BAYER CROPSCIENCE LTD.,27-Apr-01,Dividend - Rs. - 20.0000,-,15-May-01,07-Jun-01,27-Apr-01,11-May-01,-
500530,BOSCHLTD,BOSCH LTD.,27-Apr-01,Dividend - Rs. - 31.0000,-,16-May-01,31-May-01,27-Apr-01,14-May-01,-
